offset,length,text,translation
0xf2f90,10,エラーです,发生错误
0xf3234,59,"スクリーンショットコメント(1)
スクリーンショットコメント(2)","截图注释(1)
截图注释(2)"
0xf3270,24,スクリーンショットテスト,截图测试
0xf3bd8,72,"Error -> テクスチャの幅%dとテクスチャバッファの幅%dが異なる(Fastモード)
",Error -> 纹理宽度%d与纹理缓冲区宽度%d不一致(Fast模式)
0xf4c70,18,インストールデータ,安装数据
0xf4c84,42,"「1／2summer+」
のインストールデータです。","「1／2summer+」的安装数据。"
0xf4d00,14,システムデータ,系统数据
0xf4d10,38,"「1／2summer+」
のシステムデータです。","「1／2summer+」的系统数据。"
0xf4d8c,12,セーブデータ,存档数据
0xf5224,106,"記録メディアからの
読み込みに失敗しました。

これによりインストールデータを
使用しないように変更しました。","从存储介质读取失败。

因此已更改为不使用安装数据。"
0xf52f0,47,"画像の保存に失敗しました。
処理を終了しますか？","保存图像失败。要结束处理吗？"
0xf5320,92,"────────── #Color[-1,0,255,255]操作説明#Color[-1,255,255,255] ──────────","────────── #Color[-1,0,255,255]操作说明#Color[-1,255,255,255] ──────────"
0xf53dc,4,はい,确定
0xf53e4,6,いいえ,取消
0xf5618,57,"データの読み込み先を変更中です。
しばらくお待ちください。","正在更改数据读取位置。请稍候。"
0xf5654,37,"設定を初期化します。
よろしいですか？","将初始化设置。确定吗？"
0xf597c,352,"本ゲームは#Color[-1,0,255,255]オートセーブ機能#Color[-1,255,255,255]に対応しています。
オートセーブ中にはメモリースティック#Pos[0,-8]#Size[0.9,1.0]#Rubi[ＴＭ]#Size[0.8,1.0]#Pos[5,8]　アクセスランプが点滅しますので、
その間はメモリースティック#Pos[0,-8]#Size[0.9,1.0]#Rubi[ＴＭ]#Size[0.8,1.0]#Pos[5,8]　を抜いたり、本体の電源を切ったりしないでください。","本游戏支持#Color[-1,0,255,255]自动保存功能#Color[-1,255,255,255]。
自动保存时，记忆棒#Pos[0,-8]#Size[0.9,1.0]#Rubi[ＴＭ]#Size[0.8,1.0]#Pos[5,8]　的访问指示灯会闪烁，
请勿在此期间拔出记忆棒#Pos[0,-8]#Size[0.9,1.0]#Rubi[ＴＭ]#Size[0.8,1.0]#Pos[5,8]　或关闭主机电源。"
